,Date,BCI,BCIp,BCIg,USRECD,IE_SP_Comp,IE_SP_Dividend,IE_SP_Earnings,IE_Consumer_CPI,IE_Long_Interest,IE_Real_Price,IE_Real_Dividend,IE_Return_Price,IE_Real_Earnings,IE_Scaled_Earnings,IE_Monthly_Returns,IE_Real_Returns,YC_10_Year,YC_3_Month,YC_3_Month_Bond,YC_Spread,YC_Rec_Prob
839,1983-03-10,4.345103280569283,6.5869988988009265,4.027135812528651,0,4.9890711161804155,1.9315214116032138,2.5249283241374862,4.583946549536464,2.372111155642656,6.01461939257447,2.9564715596006885,11.568754323120372,3.5507661519843023,9.104875406419211,0.01980262729617973,2.2945529212967815,2.372111155642656,2.0930978681273213,2.1276045154486405,1.780092343394397,-1.433143381649103
840,1983-03-17,4.3463994570307305,6.5869988988009265,4.046553898385752,0,4.9890711161804155,1.9315214116032138,2.5249283241374862,4.583946549536464,2.372111155642656,6.01461939257447,2.9564715596006885,11.568754323120372,3.5507661519843023,9.104875406419211,0.01980262729617973,2.2945529212967815,2.372111155642656,2.0930978681273213,2.1276045154486405,1.780092343394397,-1.433143381649103
841,1983-03-24,4.3476939555933765,6.5869988988009265,4.063885354737392,0,4.9890711161804155,1.9315214116032138,2.5249283241374862,4.583946549536464,2.372111155642656,6.01461939257447,2.9564715596006885,11.568754323120372,3.5507661519843023,9.104875406419211,0.01980262729617973,2.2945529212967815,2.372111155642656,2.0930978681273213,2.1276045154486405,1.780092343394397,-1.433143381649103
842,1983-03-31,4.350277936359301,6.5869988988009265,4.072439726834051,0,5.023222409601727,1.9329696377795786,2.519308076505333,4.583946549536464,2.3523271848888596,6.048766006272015,2.958549482426275,11.606689358981543,3.5447203584143305,9.102775205638785,0.01980262729617973,2.316487998163037,2.3523271848888596,2.122261538862764,2.157387741865616,1.6986607493752521,-1.6914608272082015
843,1983-04-07,4.3489867805956814,6.586447478880696,4.070734696582967,0,5.023222409601727,1.9329696377795786,2.519308076505333,4.583946549536464,2.3523271848888596,6.048766006272015,2.958549482426275,11.606689358981543,3.5447203584143305,9.102775205638785,0.01980262729617973,2.316487998163037,2.3523271848888596,2.122261538862764,2.157387741865616,1.6986607493752521,-1.6914608272082015
844,1983-04-14,4.351567427189173,6.5869988988009265,4.069026754237811,0,5.023222409601727,1.9329696377795786,2.519308076505333,4.583946549536464,2.3523271848888596,6.048766006272015,2.958549482426275,11.606689358981543,3.5447203584143305,9.102775205638785,0.01980262729617973,2.316487998163037,2.3523271848888596,2.122261538862764,2.157387741865616,1.6986607493752521,-1.6914608272082015
845,1983-04-21,4.356708826689592,6.5869988988009265,4.072439726834051,0,5.023222409601727,1.9329696377795786,2.519308076505333,4.583946549536464,2.3523271848888596,6.048766006272015,2.958549482426275,11.606689358981543,3.5447203584143305,9.102775205638785,0.01980262729617973,2.316487998163037,2.3523271848888596,2.122261538862764,2.157387741865616,1.6986607493752521,-1.6914608272082015
846,1983-04-28,4.364371699435161,6.5869988988009265,4.0809215418899605,0,5.023222409601727,1.9329696377795786,2.519308076505333,4.583946549536464,2.3523271848888596,6.048766006272015,2.958549482426275,11.606689358981543,3.5447203584143305,9.102775205638785,0.01980262729617973,2.316487998163037,2.3523271848888596,2.122261538862764,2.157387741865616,1.6986607493752521,-1.6914608272082015
847,1983-05-05,4.370712874773608,6.5869988988009265,4.0943445622221,0,5.060694493968993,1.9344157696295783,2.5241273629412815,4.591071261608589,2.341805806147327,6.079109056960029,2.9528247725427144,11.640686729880494,3.542407550213679,9.10385477921195,0.009950330853168092,2.3243465847755584,2.341805806147327,2.105352923464337,2.1401176723395556,1.7056021715787775,-1.68083098614147
848,1983-05-12,4.378269585796169,6.5869988988009265,4.110873864173311,0,5.060694493968993,1.9344157696295783,2.5241273629412815,4.591071261608589,2.341805806147327,6.079109056960029,2.9528247725427144,11.640686729880494,3.542407550213679,9.10385477921195,0.009950330853168092,2.3243465847755584,2.341805806147327,2.105352923464337,2.1401176723395556,1.7056021715787775,-1.68083098614147
849,1983-05-19,4.378269585796169,6.5869988988009265,4.123903364463645,0,5.060694493968993,1.9344157696295783,2.5241273629412815,4.591071261608589,2.341805806147327,6.079109056960029,2.9528247725427144,11.640686729880494,3.542407550213679,9.10385477921195,0.009950330853168092,2.3243465847755584,2.341805806147327,2.105352923464337,2.1401176723395556,1.7056021715787775,-1.68083098614147
850,1983-05-26,4.387014176184921,6.5869988988009265,4.136765278106052,0,5.060694493968993,1.9344157696295783,2.5241273629412815,4.591071261608589,2.341805806147327,6.079109056960029,2.9528247725427144,11.640686729880494,3.542407550213679,9.10385477921195,0.009950330853168092,2.3243465847755584,2.341805806147327,2.105352923464337,2.1401176723395556,1.7056021715787775,-1.68083098614147
851,1983-06-02,4.389498649512583,6.5869988988009265,4.144720769547168,0,5.100475998096045,1.9358598132018119,2.528125768907977,4.597138014290827,2.3398808777377424,6.112818975520158,2.9481164196123277,11.677914511216184,3.5406694269487495,9.105827274935532,-0.020202707317519466,2.3282528397426234,2.3398808777377424,2.102913897864978,2.1376270210998287,1.7058102053197808,-2.0803384477264903
852,1983-06-09,4.399375273008495,6.5869988988009265,4.154184562578117,0,5.100475998096045,1.9358598132018119,2.528125768907977,4.597138014290827,2.3398808777377424,6.112818975520158,2.9481164196123277,11.677914511216184,3.5406694269487495,9.105827274935532,-0.020202707317519466,2.3282528397426234,2.3398808777377424,2.102913897864978,2.1376270210998287,1.7058102053197808,-2.0803384477264903
