,0
31/03/1994 00:00,3.9
30/06/1994 00:00,5.5
30/09/1994 00:00,2.4
31/12/1994 00:00,4.7
31/03/1995 00:00,1.4
30/06/1995 00:00,1.2
30/09/1995 00:00,3.5
31/12/1995 00:00,2.7
31/03/1996 00:00,3
30/06/1996 00:00,6.8
30/09/1996 00:00,3.6
31/12/1996 00:00,4.2
31/03/1997 00:00,2.6
30/06/1997 00:00,6.8
30/09/1997 00:00,5.1
31/12/1997 00:00,3.5
31/03/1998 00:00,4.1
30/06/1998 00:00,3.8
30/09/1998 00:00,5.1
31/12/1998 00:00,6.6
31/03/1999 00:00,3.8
30/06/1999 00:00,3.4
30/09/1999 00:00,5.4
31/12/1999 00:00,6.7
31/03/2000 00:00,1.5
30/06/2000 00:00,7.5
30/09/2000 00:00,0.4
31/12/2000 00:00,2.4
31/03/2001 00:00,-1.3
30/06/2001 00:00,2.5
30/09/2001 00:00,-1.6
31/12/2001 00:00,1.1
31/03/2002 00:00,3.4
30/06/2002 00:00,2.5
30/09/2002 00:00,1.6
31/12/2002 00:00,0.5
31/03/2003 00:00,2.1
30/06/2003 00:00,3.6
30/09/2003 00:00,6.8
31/12/2003 00:00,4.7
31/03/2004 00:00,2.3
30/06/2004 00:00,3.2
30/09/2004 00:00,3.8
31/12/2004 00:00,4.2
31/03/2005 00:00,4.5
30/06/2005 00:00,2
30/09/2005 00:00,3.2
31/12/2005 00:00,2.3
31/03/2006 00:00,5.5
30/06/2006 00:00,1
30/09/2006 00:00,0.6
31/12/2006 00:00,3.4
31/03/2007 00:00,1.2
30/06/2007 00:00,2.6
30/09/2007 00:00,2.4
31/12/2007 00:00,2.5
31/03/2008 00:00,-1.6
30/06/2008 00:00,2.3
30/09/2008 00:00,-2.1
31/12/2008 00:00,-8.5
31/03/2009 00:00,-4.6
30/06/2009 00:00,-0.7
30/09/2009 00:00,1.5
31/12/2009 00:00,4.3
31/03/2010 00:00,2
30/06/2010 00:00,3.9
30/09/2010 00:00,3.1
31/12/2010 00:00,2.1
31/03/2011 00:00,-1
30/06/2011 00:00,2.7
30/09/2011 00:00,-0.2
31/12/2011 00:00,4.6
31/03/2012 00:00,3.3
30/06/2012 00:00,1.8
30/09/2012 00:00,0.7
31/12/2012 00:00,0.4
31/03/2013 00:00,3.5
30/06/2013 00:00,0.6
30/09/2013 00:00,3.2
31/12/2013 00:00,2.9
31/03/2014 00:00,-1.4
30/06/2014 00:00,5.2
30/09/2014 00:00,4.7
31/12/2014 00:00,1.8
31/03/2015 00:00,3.3
30/06/2015 00:00,2.3
30/09/2015 00:00,1.3
31/12/2015 00:00,0.6
31/03/2016 00:00,2.4
30/06/2016 00:00,1.2
30/09/2016 00:00,2.4
31/12/2016 00:00,2
31/03/2017 00:00,1.9
30/06/2017 00:00,2.3
30/09/2017 00:00,2.9
31/12/2017 00:00,3.8
31/03/2018 00:00,3.1
30/06/2018 00:00,3.4
30/09/2018 00:00,1.9
31/12/2018 00:00,0.9
31/03/2019 00:00,2.4
30/06/2019 00:00,3.2
30/09/2019 00:00,2.8
31/12/2019 00:00,1.9
31/03/2020 00:00,-5.1
30/06/2020 00:00,-31.2
30/09/2020 00:00,33.8
31/12/2020 00:00,4.5
31/03/2021 00:00,6.3
30/06/2021 00:00,6.7
30/09/2021 00:00,3.3
31/12/2021 00:00,7.0
31/03/2022 00:00,-2.0
30/06/2022 00:00,-0.6
30/09/2022 00:00,2.7
31/12/2022 00:00,2.6
31/03/2023 00:00,2.2
30/06/2023 00:00,2.1
30/09/2023 00:00,4.9
31/12/2023 00:00,3.2
