Date,10 Year Treasury Yield,3 Month Treasury Yield,3 Month Treasury Yield (Bond Equivalent Basis),Spread,Rec_prob,NBER_Rec
1961-07-31,3.92,2.24,2.2840438750972174,1.6359561249027825,0.06460216980140837,0.0
1961-08-31,4.04,2.39,2.4379228846718686,1.6020771153281315,0.07298050351424254,0.0
1961-09-30,3.98,2.28,2.32506680166694,1.65493319833306,0.0906087255546152,0.0
1961-10-31,3.92,2.3,2.3455813940492924,1.5744186059507075,0.06540480235912162,0.0
1961-11-30,3.94,2.48,2.530306655723994,1.4096933442760058,0.06801009230805476,0.0
1961-12-31,4.06,2.6,2.65355083688911,1.4064491631108895,0.06530142882950694,0.0
1962-01-31,4.08,2.72,2.7768703038222804,1.3031296961777197,0.06447944501448101,0.0
1962-02-28,4.04,2.73,2.7871503265451003,1.2528496734548997,0.08638693250537466,0.0
1962-03-31,3.93,2.72,2.7768703038222804,1.1531296961777198,0.08730884483359645,0.0
1962-04-30,3.84,2.73,2.7871503265451003,1.0528496734548995,0.07383929238745204,0.0
1962-05-31,3.87,2.69,2.746033375275939,1.1239666247240612,0.08023836426378843,0.0
1962-06-30,3.91,2.73,2.7871503265451003,1.1228496734548998,0.06875788729292628,0.0
1962-07-31,4.01,2.92,2.982570237878026,1.0274297621219737,0.05834025557314497,0.0
1962-08-31,3.98,2.82,2.879694086009773,1.1003059139902271,0.060881625657642935,0.0
1962-09-30,3.98,2.78,2.838558291012789,1.141441708987211,0.05695357211032259,0.0
1962-10-31,3.93,2.74,2.797430872604869,1.132569127395131,0.06301987799909164,0.0
1962-11-30,3.92,2.83,2.8899793439009676,1.0300206560990324,0.07698673587217783,0.0
1962-12-31,3.86,2.87,2.931125613233561,0.9288743867664389,0.07728370836024258,0.0
1963-01-31,3.83,2.91,2.97228026491534,0.8577197350846602,0.08720311348082052,0.0
1963-02-28,3.92,2.92,2.982570237878026,0.9374297621219738,0.09236125992245622,0.0
1963-03-31,3.93,2.89,2.9517018911207185,0.9782981088792817,0.10325307001317906,0.0
1963-04-30,3.97,2.9,2.9619908160095814,1.0080091839904188,0.11511747748079694,0.0
1963-05-31,3.93,2.93,2.9928607349376786,0.9371392650623216,0.10660799273263585,0.0
1963-06-30,3.99,2.99,3.0546147255744884,0.9353852744255118,0.1067380334370151,0.0
1963-07-31,4.02,3.18,3.2502936101361444,0.7697063898638552,0.11827323767407302,0.0
1963-08-31,4.0,3.32,3.3945993431542716,0.6054006568457284,0.10938719456437308,0.0
1963-09-30,4.08,3.38,3.4564761929843932,0.6235238070156068,0.10458833436109424,0.0
1963-10-31,4.11,3.45,3.528689782141761,0.5813102178582392,0.10561027974508402,0.0
1963-11-30,4.12,3.52,3.6009291563153027,0.5190708436846974,0.11794881900875653,0.0
1963-12-31,4.13,3.52,3.6009291563153027,0.5290708436846971,0.13108488272130625,0.0
1964-01-31,4.17,3.52,3.6009291563153027,0.5690708436846972,0.14091072919089886,0.0
1964-02-28,4.15,3.53,3.6112511726160963,0.5387488273839041,0.1299361431942146,0.0
1964-03-31,4.22,3.54,3.621573715463876,0.5984262845361239,0.12454495964617882,0.0
1964-04-30,4.23,3.47,3.549326971606225,0.6806730283937754,0.12072508023839248,0.0
1964-05-31,4.2,3.48,3.5596463557763127,0.6403536442236875,0.12997503389038031,0.0
1964-06-30,4.17,3.48,3.5596463557763127,0.6103536442236872,0.1302100230149205,0.0
1964-07-31,4.19,3.46,3.5390081137414624,0.650991886258538,0.15373997212160695,0.0
1964-08-31,4.19,3.5,3.5802867031935315,0.6097132968064689,0.17969747406188497,0.0
1964-09-30,4.2,3.53,3.6112511726160963,0.5887488273839039,0.17670623064513574,0.0
1964-10-31,4.19,3.57,3.6525445036920674,0.537455496307933,0.18372255822172678,0.0
1964-11-30,4.15,3.64,3.7248281128920664,0.42517188710793397,0.19437902220915676,0.0
1964-12-31,4.18,3.84,3.931495045239121,0.24850495476087886,0.19264192245964776,0.0
1965-01-31,4.19,3.81,3.9004815544371927,0.2895184455628077,0.1857888897622164,0.0
1965-02-28,4.21,3.93,4.024564023099474,0.18543597690052582,0.19096982545224,0.0
1965-03-31,4.21,3.93,4.024564023099474,0.18543597690052582,0.18085702904827214,0.0
1965-04-30,4.2,3.93,4.024564023099474,0.17543597690052604,0.1674813469779306,0.0
1965-05-31,4.21,3.89,3.9831947530733456,0.22680524692665438,0.17395681382054534,0.0
1965-06-30,4.21,3.8,3.890144779577161,0.3198552204228391,0.1788768364929812,0.0
1965-07-31,4.2,3.84,3.931495045239121,0.2685049547608793,0.17223299958471933,0.0
1965-08-31,4.25,3.84,3.931495045239121,0.31850495476087914,0.17898279973227893,0.0
1965-09-30,4.29,3.92,4.014220913451287,0.2757790865487131,0.18247374647630052,0.0
1965-10-31,4.35,4.03,4.1280241751599,0.2219758248400998,0.1911927617526774,0.0
1965-11-30,4.45,4.09,4.190125635002544,0.2598743649974562,0.21115103260116472,0.0
1965-12-31,4.62,4.38,4.490551219586185,0.12944878041381536,0.24490733082549376,0.0
1966-01-31,4.61,4.59,4.708378966964202,-0.09837896696420145,0.23682121919212717,0.0
1966-02-28,4.83,4.65,4.770658447838975,0.05934155216102521,0.25762622391224116,0.0
1966-03-31,4.87,4.59,4.708378966964202,0.16162103303579833,0.25762622391224116,0.0
1966-04-30,4.75,4.62,4.739516318067835,0.010483681932164757,0.2596739342602175,0.0
1966-05-31,4.78,4.64,4.7602772068843,0.01972279311570002,0.24924494288948562,0.0
1966-06-30,4.81,4.5,4.614995574661778,0.1950044253382215,0.23093584142617768,0.0
