,,,,  Consumer,,,,,Real,,Real,Earnings,,Earnings,,,Monthly,Real,,,,,,,
,S&P,,,Price,,Long,,,Total,,TR,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year,,,,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Return,Real,Scaled,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized ,,,,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns,,,,
1904.08,7.01,0.32,0.50,8.18,1904.62,3.45,233.88,10.79,"1,283.02",16.79,92.12,16.30,,19.45,,4.62%,1.00,6.44,3.60%,1.05%,2.56%,,,,
1904.09,7.32,0.32,0.50,8.28,1904.71,3.45,241.42,10.55,"1,329.18",16.49,90.79,16.74,,19.99,,4.43%,1.00,6.38,3.29%,1.17%,2.12%,,,,
1904.1,7.75,0.32,0.50,8.28,1904.79,3.46,255.60,10.44,"1,412.05",16.38,90.50,17.63,,21.07,,4.41%,1.00,6.39,2.81%,1.28%,1.54%,,,,
1904.11,8.17,0.31,0.49,8.47,1904.87,3.47,263.40,10.10,"1,459.78",15.90,88.14,18.08,,21.61,,4.50%,1.00,6.26,2.42%,1.41%,1.00%,,,,
1904.12,8.25,0.31,0.49,8.47,1904.96,3.47,265.98,9.99,"1,478.69",15.80,87.83,18.16,,21.72,,4.61%,1.00,6.28,1.99%,1.52%,0.47%,,,,
1905.01,8.43,0.31,0.51,8.47,1905.04,3.48,271.78,10.05,"1,515.61",16.28,90.79,18.46,,22.09,,4.52%,1.00,6.29,1.96%,1.53%,0.44%,,,,
1905.02,8.80,0.31,0.52,8.47,1905.12,3.48,283.71,10.10,"1,586.83",16.76,93.77,19.17,,22.94,,4.32%,1.00,6.31,1.51%,1.64%,-0.14%,,,,
1905.03,9.05,0.32,0.54,8.37,1905.21,3.47,295.08,10.27,"1,655.23",17.44,97.85,19.83,,23.74,,4.03%,1.00,6.41,1.48%,1.65%,-0.16%,,,,
1905.04,8.94,0.32,0.55,8.37,1905.29,3.47,291.50,10.33,"1,639.93",17.93,100.89,19.48,,23.33,,3.69%,1.00,6.43,2.26%,1.56%,0.70%,,,,
1905.05,8.50,0.32,0.57,8.28,1905.37,3.46,280.34,10.50,"1,582.07",18.63,105.16,18.63,,22.31,,3.67%,1.00,6.52,2.33%,1.36%,0.97%,,,,
1905.06,8.60,0.32,0.58,8.28,1905.46,3.46,283.63,10.55,"1,605.65",19.13,108.29,18.74,,22.45,,3.51%,1.00,6.54,2.34%,1.37%,0.97%,,,,
1905.07,8.87,0.32,0.60,8.28,1905.54,3.46,292.54,10.61,"1,661.06",19.62,111.42,19.21,,23.01,,3.52%,1.00,6.56,2.00%,1.39%,0.61%,,,,
1905.08,9.20,0.32,0.61,8.37,1905.62,3.45,299.97,10.54,"1,708.26",19.89,113.27,19.57,,23.45,,3.69%,1.00,6.51,2.18%,1.52%,0.66%,,,,
1905.09,9.23,0.33,0.63,8.28,1905.71,3.45,304.41,10.72,"1,738.63",20.61,117.73,19.74,,23.65,,3.53%,1.00,6.61,2.42%,1.42%,1.00%,,,,
1905.1,9.36,0.33,0.64,8.28,1905.79,3.44,308.70,10.77,"1,768.24",21.11,120.91,19.90,,23.83,,3.49%,1.00,6.63,2.73%,1.33%,1.40%,,,,
1905.11,9.31,0.33,0.66,8.37,1905.87,3.44,303.56,10.70,"1,743.91",21.36,122.69,19.44,,23.28,,3.73%,1.00,6.57,3.17%,1.37%,1.80%,,,,
1905.12,9.54,0.33,0.67,8.47,1905.96,3.43,307.57,10.64,"1,772.03",21.60,124.45,19.58,,23.43,,3.96%,1.00,6.52,3.07%,1.50%,1.57%,,,,
1906.01,9.87,0.34,0.68,8.47,1906.04,3.43,318.21,10.83,"1,838.52",21.84,126.20,20.13,,24.08,,3.97%,1.00,6.54,2.46%,1.41%,1.05%,,,,
1906.02,9.80,0.34,0.69,8.47,1906.12,3.45,315.95,11.02,"1,830.78",22.08,127.97,19.87,,23.75,,4.16%,1.00,6.55,2.41%,1.42%,0.98%,,,,
1906.03,9.56,0.35,0.69,8.47,1906.21,3.47,308.21,11.20,"1,791.36",22.33,129.76,19.26,,23.02,,4.30%,1.00,6.56,2.54%,1.34%,1.21%,,,,
1906.04,9.43,0.35,0.70,8.47,1906.29,3.49,304.02,11.39,"1,772.52",22.57,131.58,18.88,,22.56,,4.54%,1.00,6.57,2.48%,1.25%,1.23%,,,,
1906.05,9.18,0.36,0.71,8.56,1906.37,3.51,292.67,11.45,"1,711.91",22.56,131.94,18.05,,21.57,,5.02%,1.00,6.50,3.01%,1.28%,1.74%,,,,
1906.06,9.30,0.37,0.72,8.56,1906.46,3.53,296.50,11.64,"1,739.96",22.80,133.77,18.17,,21.72,,5.12%,1.00,6.51,2.89%,1.19%,1.70%,,,,
1906.07,9.06,0.37,0.72,8.28,1906.54,3.55,298.80,12.23,"1,759.49",23.83,140.31,18.20,,21.75,,4.75%,1.00,6.74,2.68%,0.86%,1.82%,,,,
1906.08,9.73,0.38,0.73,8.47,1906.62,3.57,313.69,12.14,"1,853.11",23.53,139.03,18.97,,22.67,,4.74%,1.00,6.60,2.18%,1.00%,1.18%,,,,
1906.09,10.03,0.38,0.74,8.56,1906.71,3.59,319.77,12.19,"1,895.02",23.51,139.34,19.20,,22.94,,4.77%,1.00,6.53,2.22%,0.94%,1.28%,,,,
1906.1,9.73,0.39,0.75,8.75,1906.79,3.61,303.46,12.11,"1,804.35",23.24,138.15,18.10,,21.62,,4.99%,1.00,6.40,2.90%,0.99%,1.91%,,,,
1906.11,9.93,0.39,0.75,8.85,1906.87,3.63,306.37,12.16,"1,827.67",23.22,138.50,18.14,,21.68,,4.76%,1.00,6.34,2.87%,0.94%,1.93%,,,,
1906.12,9.84,0.40,0.76,8.94,1906.96,3.65,300.36,12.21,"1,797.91",23.20,138.86,17.66,,21.11,,5.00%,1.00,6.28,2.58%,0.97%,1.61%,,,,
1907.01,9.56,0.40,0.75,8.85,1907.04,3.67,294.95,12.44,"1,771.74",23.19,139.31,17.22,,20.60,,5.32%,1.00,6.36,2.45%,0.78%,1.67%,,,,
1907.02,9.26,0.41,0.74,9.04,1907.12,3.69,279.68,12.28,"1,686.15",22.45,135.35,16.22,,19.41,,5.88%,1.00,6.23,2.16%,0.74%,1.42%,,,,
1907.03,8.35,0.41,0.74,8.94,1907.21,3.70,254.88,12.52,"1,542.92",22.44,135.81,14.69,,17.60,,6.40%,1.00,6.31,3.44%,0.62%,2.81%,,,,
1907.04,8.39,0.41,0.73,8.94,1907.29,3.72,256.10,12.62,"1,556.67",22.18,134.83,14.67,,17.59,,6.54%,1.00,6.32,2.74%,0.13%,2.61%,,,,
1907.05,8.10,0.42,0.72,9.13,1907.37,3.74,242.10,12.45,"1,477.86",21.47,131.06,13.79,,16.56,,7.33%,1.00,6.20,2.82%,0.18%,2.64%,,,,
1907.06,7.84,0.42,0.71,9.23,1907.46,3.75,231.91,12.42,"1,422.00",21.00,128.78,13.14,,15.81,,7.78%,1.00,6.15,3.32%,0.12%,3.20%,,,,
1907.07,8.14,0.42,0.70,9.23,1907.54,3.77,240.79,12.52,"1,482.82",20.76,127.82,13.59,,16.36,,7.52%,1.00,6.16,2.82%,0.28%,2.55%,,,,
1907.08,7.53,0.43,0.69,9.23,1907.62,3.79,222.74,12.62,"1,378.17",20.51,126.89,12.51,,15.09,,7.67%,1.00,6.17,3.17%,0.12%,3.06%,,,,
1907.09,7.45,0.43,0.69,9.23,1907.71,3.80,220.38,12.72,"1,370.09",20.26,125.97,12.33,,14.90,,7.48%,1.00,6.18,2.56%,-0.11%,2.68%,,,,
1907.1,6.64,0.43,0.68,9.32,1907.79,3.82,194.41,12.69,"1,215.24",19.81,123.85,10.83,,13.12,,8.83%,1.00,6.13,3.14%,-0.16%,3.31%,,,,
1907.11,6.25,0.44,0.67,8.94,1907.87,3.84,190.78,13.33,"1,199.48",20.40,128.26,10.59,,12.86,,8.60%,1.00,6.40,2.47%,-0.58%,3.05%,,,,
1907.12,6.57,0.44,0.66,8.75,1907.96,3.85,204.91,13.72,"1,295.49",20.58,130.14,11.33,,13.80,,7.74%,1.00,6.55,1.26%,-0.95%,2.21%,,,,
1908.01,6.85,0.44,0.65,8.66,1908.04,3.87,215.99,13.77,"1,372.80",20.60,130.93,11.90,,14.52,,7.19%,1.00,6.64,1.13%,-1.27%,2.40%,,,,
1908.02,6.60,0.43,0.65,8.56,1908.12,3.86,210.42,13.81,"1,344.71",20.62,131.76,11.55,,14.13,,7.19%,1.00,6.74,1.65%,-1.45%,3.10%,,,,
1908.03,6.87,0.43,0.64,8.56,1908.21,3.85,219.02,13.71,"1,407.02",20.40,131.08,11.98,,14.68,,6.89%,1.00,6.76,1.13%,-1.37%,2.51%,,,,
1908.04,7.24,0.43,0.63,8.66,1908.29,3.84,228.28,13.45,"1,473.71",19.97,128.91,12.45,,15.28,,6.70%,1.00,6.71,0.50%,-1.40%,1.90%,,,,
1908.05,7.63,0.42,0.63,8.66,1908.37,3.83,240.58,13.35,"1,560.27",19.76,128.15,13.08,,16.07,,5.63%,1.00,6.74,0.10%,-1.61%,1.71%,,,,
1908.06,7.64,0.42,0.62,8.66,1908.46,3.82,240.90,13.24,"1,569.47",19.55,127.37,13.05,,16.06,,6.35%,1.00,6.77,-0.01%,-1.74%,1.73%,,,,
1908.07,7.92,0.42,0.61,8.75,1908.54,3.82,247.01,13.00,"1,616.36",19.13,125.17,13.35,,16.44,,6.45%,1.00,6.72,-0.42%,-1.89%,1.47%,,,,
1908.08,8.26,0.41,0.61,8.75,1908.62,3.81,257.61,12.89,"1,692.78",18.92,124.34,13.88,,17.12,,6.17%,1.00,6.75,-0.92%,-2.08%,1.16%,,,,
1908.09,8.17,0.41,0.60,8.75,1908.71,3.80,254.81,12.79,"1,681.34",18.71,123.48,13.70,,16.92,,6.27%,1.00,6.77,-1.03%,-2.27%,1.24%,,,,
1908.1,8.27,0.41,0.59,8.85,1908.79,3.79,255.15,12.55,"1,690.53",18.31,121.28,13.69,,16.92,,6.40%,1.00,6.73,-0.80%,-2.34%,1.55%,,,,
1908.11,8.83,0.40,0.59,8.94,1908.87,3.78,269.53,12.31,"1,792.59",17.91,119.11,14.44,,17.85,,6.14%,1.00,6.68,-1.25%,-2.42%,1.16%,,,,
1908.12,9.03,0.40,0.58,9.04,1908.96,3.77,272.74,12.08,"1,820.59",17.52,116.94,14.58,,18.04,,6.04%,1.00,6.64,-1.66%,-2.43%,0.76%,,,,
1909.01,9.06,0.40,0.60,8.94,1909.04,3.76,276.55,12.31,"1,852.92",18.16,121.69,14.76,,18.28,,5.86%,1.00,6.73,-1.84%,-2.53%,0.69%,,,,
1909.02,8.80,0.41,0.61,9.04,1909.12,3.77,265.79,12.28,"1,787.66",18.42,123.92,14.17,,17.55,,5.96%,1.00,6.68,-1.21%,-2.26%,1.05%,,,,
1909.03,8.92,0.41,0.63,9.04,1909.21,3.79,269.41,12.38,"1,818.98",18.88,127.45,14.34,,17.77,,5.86%,1.00,6.69,-1.15%,-2.39%,1.24%,,,,
1909.04,9.32,0.41,0.64,9.23,1909.29,3.80,275.69,12.23,"1,868.25",18.93,128.29,14.65,,18.16,,5.77%,1.00,6.57,-1.22%,-2.38%,1.17%,,,,
1909.05,9.63,0.42,0.66,9.32,1909.37,3.81,281.95,12.20,"1,917.57",19.18,130.43,14.95,,18.55,,5.73%,1.00,6.51,-0.88%,-2.41%,1.53%,,,,
1909.06,9.80,0.42,0.67,9.42,1909.46,3.82,284.03,12.17,"1,938.61",19.42,132.54,15.04,,18.66,,5.64%,1.00,6.46,-0.68%,-2.33%,1.65%,,,,
1909.07,9.94,0.42,0.69,9.42,1909.54,3.84,288.09,12.27,"1,973.28",19.85,135.99,15.23,,18.90,,5.41%,1.00,6.48,-0.78%,-2.62%,1.85%,,,,
1909.08,10.18,0.43,0.70,9.51,1909.62,3.85,292.10,12.24,"2,007.70",20.09,138.05,15.42,,19.13,,5.29%,1.00,6.43,-1.75%,-2.70%,0.95%,,,,
1909.09,10.19,0.43,0.72,9.61,1909.71,3.86,289.49,12.22,"1,996.79",20.31,140.11,15.25,,18.93,,5.05%,1.00,6.38,-1.55%,-2.68%,1.12%,,,,
1909.1,10.23,0.43,0.73,9.80,1909.79,3.87,284.98,12.07,"1,972.63",20.34,140.76,14.99,,18.60,,5.23%,1.00,6.27,-1.06%,-2.66%,1.60%,,,,
1909.11,10.18,0.44,0.75,9.90,1909.87,3.89,280.86,12.05,"1,951.06",20.55,142.78,14.75,,18.29,,5.30%,1.00,6.22,-1.41%,-2.79%,1.37%,,,,
1909.12,10.30,0.44,0.76,9.99,1909.96,3.90,281.47,12.02,"1,962.21",20.77,144.78,14.75,,18.30,,5.26%,1.00,6.17,-1.93%,-2.92%,0.99%,,,,
1910.01,10.08,0.44,0.76,9.90,1910.04,3.91,278.10,12.21,"1,945.86",20.90,146.23,14.55,,18.05,,5.24%,1.00,6.25,-2.10%,-3.22%,1.12%,,,,
1910.02,9.72,0.45,0.76,9.90,1910.12,3.92,268.17,12.28,"1,883.53",20.83,146.30,14.00,,17.37,,5.38%,1.00,6.26,-2.67%,-3.32%,0.65%,,,,
1910.03,9.96,0.45,0.75,10.09,1910.21,3.92,269.61,12.11,"1,900.72",20.37,143.60,14.05,,17.44,,5.55%,1.00,6.16,-2.15%,-3.23%,1.08%,,,,
1910.04,9.72,0.45,0.75,10.18,1910.29,3.93,260.65,12.07,"1,844.67",20.11,142.34,13.56,,16.83,,5.90%,1.00,6.12,-2.18%,-3.42%,1.24%,,,,
1910.05,9.56,0.45,0.75,9.99,1910.37,3.93,261.24,12.37,"1,856.14",20.43,145.13,13.57,,16.85,,5.94%,1.00,6.26,-2.96%,-3.74%,0.78%,,,,
1910.06,9.10,0.46,0.75,9.90,1910.46,3.94,251.06,12.55,"1,791.26",20.55,146.65,13.02,,16.18,,6.27%,1.00,6.33,-2.87%,-3.96%,1.09%,,,,
1910.07,8.64,0.46,0.74,9.90,1910.54,3.95,238.37,12.62,"1,708.21",20.49,146.80,12.34,,15.35,,6.56%,1.00,6.35,-2.32%,-3.91%,1.59%,,,,
1910.08,8.85,0.46,0.74,9.80,1910.62,3.95,246.54,12.81,"1,774.38",20.61,148.37,12.75,,15.86,,6.33%,1.00,6.43,-2.79%,-3.76%,0.97%,,,,
1910.09,8.91,0.46,0.74,9.70,1910.71,3.96,250.64,13.01,"1,811.73",20.75,149.96,12.94,,16.11,,5.98%,1.00,6.51,-2.46%,-3.71%,1.25%,,,,
1910.1,9.32,0.47,0.74,9.42,1910.79,3.96,270.12,13.48,"1,960.64",21.30,154.62,13.92,,17.34,,5.25%,1.00,6.73,-3.11%,-3.94%,0.83%,,,,
1910.11,9.31,0.47,0.73,9.23,1910.87,3.97,275.40,13.83,"2,007.29",21.67,157.93,14.16,,17.65,,4.91%,1.00,6.89,-3.74%,-4.08%,0.35%,,,,
1910.12,9.05,0.47,0.73,9.23,1910.96,3.97,267.71,13.90,"1,959.67",21.59,158.07,13.74,,17.14,,5.25%,1.00,6.91,-4.15%,-3.88%,-0.27%,,,,
1911.01,9.27,0.47,0.72,9.23,1911.04,3.98,274.21,13.90,"2,015.79",21.25,156.20,14.05,,17.53,,4.96%,1.00,6.93,-3.75%,-3.68%,-0.08%,,,,
1911.02,9.43,0.47,0.71,8.94,1911.12,3.98,287.85,14.35,"2,124.81",21.57,159.24,14.72,,18.37,,4.44%,1.00,7.17,-3.96%,-3.61%,-0.35%,,,,
1911.03,9.32,0.47,0.70,9.04,1911.21,3.99,281.49,14.20,"2,086.65",20.99,155.60,14.37,,17.94,,4.71%,1.00,7.12,-3.92%,-3.39%,-0.53%,,,,
1911.04,9.28,0.47,0.68,8.75,1911.29,3.99,289.43,14.66,"2,154.50",21.31,158.64,14.75,,18.43,,4.33%,1.00,7.37,-4.03%,-3.54%,-0.49%,,,,
1911.05,9.48,0.47,0.67,8.75,1911.37,3.99,295.66,14.66,"2,210.02",20.95,156.59,15.05,,18.81,,4.19%,1.00,7.39,-3.71%,-3.26%,-0.45%,,,,
1911.06,9.67,0.47,0.66,8.75,1911.46,3.99,301.59,14.66,"2,263.45",20.58,154.49,15.33,,19.16,,4.07%,1.00,7.42,-4.63%,-3.15%,-1.48%,,,,
1911.07,9.63,0.47,0.65,8.85,1911.54,4.00,297.11,14.50,"2,238.93",20.00,150.73,15.08,,18.86,,4.15%,1.00,7.36,-4.55%,-3.04%,-1.51%,,,,
1911.08,9.17,0.47,0.64,9.13,1911.62,4.00,274.08,14.05,"2,074.17",19.03,144.02,13.90,,17.39,,4.91%,1.00,7.15,-3.88%,-2.68%,-1.20%,,,,
1911.09,8.67,0.47,0.63,9.23,1911.71,4.00,256.46,13.90,"1,949.63",18.49,140.54,13.00,,16.28,,5.39%,1.00,7.10,-2.88%,-2.41%,-0.47%,,,,
1911.1,8.72,0.47,0.61,9.23,1911.79,4.00,257.94,13.90,"1,969.69",18.14,138.53,13.07,,16.38,,5.34%,1.00,7.12,-2.79%,-2.35%,-0.44%,,,,
1911.11,9.07,0.47,0.60,9.13,1911.87,4.01,271.09,14.05,"2,079.01",17.98,137.92,13.73,,17.23,,4.75%,1.00,7.22,-2.70%,-2.34%,-0.36%,,,,
1911.12,9.11,0.47,0.59,9.04,1911.96,4.01,275.15,14.20,"2,119.24",17.82,137.25,13.93,,17.49,,4.41%,1.00,7.32,-2.44%,-2.33%,-0.11%,,,,
1912.01,9.12,0.47,0.60,9.13,1912.04,4.01,272.58,14.07,"2,108.49",17.91,138.53,13.79,,17.34,,4.70%,1.00,7.27,-2.12%,-1.94%,-0.18%,,,,
1912.02,9.04,0.47,0.61,9.23,1912.12,4.05,267.41,13.95,"2,077.46",17.99,139.79,13.53,,17.02,,4.91%,1.00,7.19,-1.71%,-1.81%,0.10%,,,,
1912.03,9.30,0.47,0.62,9.42,1912.21,4.08,269.54,13.69,"2,102.89",17.90,139.63,13.64,,17.17,,5.03%,1.00,7.05,-1.30%,-1.46%,0.16%,,,,
1912.04,9.59,0.47,0.63,9.70,1912.29,4.12,269.77,13.31,"2,113.34",17.63,138.11,13.65,,17.20,,5.16%,1.00,6.85,-0.72%,-1.14%,0.42%,,,,
1912.05,9.58,0.47,0.64,9.70,1912.37,4.16,269.49,13.34,"2,119.85",17.89,140.69,13.65,,17.20,,5.01%,1.00,6.85,-0.32%,-1.11%,0.79%,,,,
1912.06,9.58,0.48,0.65,9.61,1912.46,4.19,272.16,13.49,"2,149.69",18.32,144.73,13.79,,17.38,,4.68%,1.00,6.92,-0.51%,-1.19%,0.68%,,,,
1912.07,9.59,0.48,0.65,9.61,1912.54,4.23,272.44,13.52,"2,160.83",18.59,147.40,13.80,,17.41,,4.64%,1.00,6.92,-0.50%,-1.22%,0.72%,,,,
1912.08,9.81,0.48,0.66,9.70,1912.62,4.27,275.96,13.41,"2,197.59",18.66,148.59,13.98,,17.65,,4.72%,1.00,6.86,-0.13%,-0.98%,0.84%,,,,
1912.09,9.86,0.48,0.67,9.80,1912.71,4.30,274.67,13.30,"2,196.17",18.73,149.79,13.93,,17.58,,4.70%,1.00,6.80,0.18%,-0.85%,1.03%,,,,
1912.1,9.84,0.48,0.68,9.80,1912.79,4.34,274.12,13.32,"2,200.59",18.99,152.45,13.91,,17.56,,3.99%,1.00,6.80,0.36%,-0.89%,1.25%,,,,
1912.11,9.73,0.48,0.69,9.80,1912.87,4.38,271.05,13.35,"2,184.92",19.24,155.12,13.75,,17.37,,4.37%,1.00,6.81,-0.09%,-0.92%,0.83%,,,,
1912.12,9.38,0.48,0.70,9.70,1912.96,4.41,263.87,13.50,"2,136.05",19.69,159.41,13.39,,16.92,,4.31%,1.00,6.88,0.10%,-1.05%,1.15%,,,,
1913.01,9.30,0.48,0.69,9.80,1913.04,4.45,259.07,13.37,"2,106.29",19.34,157.22,13.15,,16.62,,4.40%,1.01,6.82,0.49%,-0.87%,1.36%,,,,
1913.02,8.97,0.48,0.69,9.80,1913.12,4.43,249.88,13.37,"2,040.61",19.17,156.58,12.68,,16.04,,4.71%,1.01,6.85,1.27%,-0.87%,2.15%,,,,
1913.03,8.80,0.48,0.68,9.80,1913.21,4.40,245.15,13.37,"2,011.03",19.01,155.97,12.44,,15.75,,5.22%,1.01,6.89,1.63%,-0.87%,2.50%,,,,
1913.04,8.79,0.48,0.68,9.80,1913.29,4.38,244.87,13.37,"2,017.89",18.85,155.35,12.43,,15.74,,5.25%,1.01,6.93,1.22%,-0.93%,2.15%,,,,
1913.05,8.55,0.48,0.67,9.70,1913.37,4.35,240.64,13.51,"1,992.31",18.88,156.31,12.22,,15.49,,5.54%,1.01,7.04,0.91%,-1.03%,1.94%,,,,
1913.06,8.12,0.48,0.67,9.80,1913.46,4.33,226.20,13.37,"1,882.03",18.53,154.13,11.49,,14.58,,6.19%,1.01,7.01,1.09%,-0.99%,2.08%,,,,
1913.07,8.23,0.48,0.66,9.90,1913.54,4.31,226.95,13.24,"1,897.43",18.18,151.98,11.53,,14.65,,6.29%,1.01,6.98,0.60%,-1.00%,1.60%,,,,
1913.08,8.45,0.48,0.65,9.90,1913.62,4.28,233.02,13.24,"1,957.37",18.02,151.33,11.85,,15.06,,6.08%,1.01,7.02,0.45%,-0.95%,1.39%,,,,
1913.09,8.53,0.48,0.65,10.00,1913.71,4.26,232.87,13.10,"1,965.32",17.68,149.18,11.84,,15.07,,6.10%,1.01,6.98,0.46%,-0.90%,1.37%,,,,
1913.1,8.26,0.48,0.64,10.00,1913.79,4.23,225.50,13.10,"1,912.33",17.52,148.56,11.47,,14.61,,6.51%,1.01,7.02,0.59%,-0.96%,1.55%,,,,
1913.11,8.05,0.48,0.64,10.10,1913.87,4.21,217.59,12.97,"1,854.43",17.19,146.47,11.07,,14.12,,7.07%,1.01,6.99,1.25%,-0.86%,2.11%,,,,
1913.12,8.04,0.48,0.63,10.00,1913.96,4.18,219.49,13.10,"1,879.95",17.20,147.31,11.17,,14.27,,6.91%,1.01,7.10,1.50%,-0.96%,2.46%,,,,
1914.01,8.37,0.48,0.62,10.00,1914.04,4.16,228.50,12.97,"1,966.37",16.95,145.84,11.64,,14.88,,6.34%,1.00,7.14,1.42%,-0.96%,2.38%,,,,
1914.02,8.48,0.47,0.61,9.90,1914.12,4.17,233.84,12.96,"2,021.63",16.87,145.83,11.91,,15.24,,5.80%,1.00,7.23,1.29%,-0.99%,2.28%,,,,
1914.03,8.32,0.47,0.60,9.90,1914.21,4.17,229.43,12.82,"1,992.72",16.61,144.30,11.69,,14.97,,6.07%,1.00,7.25,1.35%,-0.91%,2.27%,,,,
1914.04,8.12,0.46,0.59,9.80,1914.29,4.18,226.20,12.81,"1,973.94",16.53,144.23,11.52,,14.78,,6.20%,1.00,7.35,1.33%,-0.94%,2.26%,,,,
1914.05,8.17,0.46,0.58,9.90,1914.37,4.19,225.30,12.55,"1,975.16",16.11,141.23,11.48,,14.74,,6.57%,1.00,7.30,1.34%,-0.82%,2.16%,,,,
1914.06,8.13,0.45,0.58,9.90,1914.46,4.19,224.19,12.41,"1,974.55",15.86,139.65,11.43,,14.69,,6.60%,1.00,7.32,1.58%,-0.80%,2.39%,,,,
1914.07,7.68,0.45,0.57,10.00,1914.54,4.20,209.67,12.15,"1,855.52",15.45,136.70,10.69,,13.77,,7.30%,1.00,7.26,2.67%,-0.74%,3.42%,,,,
1914.08,7.68,0.44,0.56,10.20,1914.62,4.21,205.56,11.78,"1,827.83",14.90,132.49,10.49,,13.53,,7.55%,1.00,7.14,3.29%,-0.47%,3.76%,,,,
1914.09,7.68,0.44,0.55,10.20,1914.71,4.21,205.56,11.64,"1,836.45",14.65,130.92,10.50,,13.56,,7.42%,1.00,7.16,3.13%,-0.51%,3.64%,,,,
1914.1,7.68,0.43,0.54,10.10,1914.79,4.22,207.59,11.62,"1,863.29",14.55,130.60,10.61,,13.72,,7.21%,1.00,7.26,2.84%,-0.65%,3.49%,,,,
1914.11,7.68,0.43,0.53,10.20,1914.87,4.23,205.56,11.38,"1,853.53",14.16,127.72,10.52,,13.62,,7.16%,1.00,7.21,3.50%,-0.54%,4.04%,,,,
1914.12,7.35,0.42,0.52,10.10,1914.96,4.23,198.67,11.35,"1,799.98",14.06,127.35,10.17,,13.19,,7.38%,1.00,7.30,4.34%,-0.68%,5.01%,,,,
1915.01,7.48,0.42,0.55,10.10,1915.04,4.24,202.18,11.37,"1,840.40",14.87,135.32,10.36,,13.46,,7.19%,1.00,7.32,4.57%,-0.66%,5.23%,,,,
1915.02,7.38,0.42,0.58,10.00,1915.12,4.22,201.48,11.51,"1,842.69",15.83,144.82,10.33,,13.44,,7.13%,1.00,7.43,4.75%,-0.71%,5.46%,,,,
1915.03,7.57,0.42,0.61,9.90,1915.21,4.21,208.75,11.65,"1,918.10",16.82,154.56,10.71,,13.94,,6.82%,1.00,7.54,4.04%,-0.87%,4.91%,,,,
1915.04,8.14,0.42,0.64,10.00,1915.29,4.19,222.22,11.56,"2,050.75",17.47,161.24,11.40,,14.86,,6.37%,1.00,7.50,3.35%,-0.71%,4.06%,,,,
1915.05,7.95,0.42,0.67,10.10,1915.37,4.18,214.89,11.47,"1,991.87",18.11,167.87,11.03,,14.38,,6.90%,1.00,7.46,3.96%,-0.67%,4.64%,,,,
1915.06,8.04,0.43,0.70,10.10,1915.46,4.16,217.32,11.49,"2,023.30",18.92,176.16,11.15,,14.55,,6.81%,1.00,7.50,3.91%,-0.79%,4.70%,,,,
1915.07,8.01,0.43,0.73,10.10,1915.54,4.15,216.51,11.51,"2,024.68",19.73,184.52,11.11,,14.50,,6.86%,1.00,7.54,4.12%,-0.91%,5.03%,,,,
1915.08,8.35,0.43,0.76,10.10,1915.62,4.13,225.70,11.53,"2,119.61",20.54,192.92,11.58,,15.11,,6.40%,1.00,7.57,3.83%,-0.91%,4.74%,,,,
1915.09,8.66,0.43,0.79,10.10,1915.71,4.11,234.08,11.56,"2,207.34",21.35,201.36,12.01,,15.66,,6.22%,1.00,7.61,3.69%,-0.92%,4.60%,,,,
1915.1,9.14,0.43,0.82,10.20,1915.79,4.10,244.63,11.46,"2,315.86",21.95,207.77,12.55,,16.35,,5.98%,1.00,7.57,3.57%,-0.82%,4.39%,,,,
1915.11,9.46,0.43,0.85,10.30,1915.87,4.08,250.74,11.38,"2,382.64",22.53,214.09,12.86,,16.74,,5.79%,1.00,7.53,3.46%,-0.90%,4.35%,,,,
1915.12,9.48,0.43,0.88,10.30,1915.96,4.07,251.27,11.40,"2,396.70",23.32,222.48,12.88,,16.75,,5.68%,1.00,7.56,3.66%,-0.84%,4.51%,,,,
1916.01,9.33,0.44,0.93,10.40,1916.04,4.05,244.92,11.57,"2,345.30",24.52,234.83,12.54,,16.30,,6.00%,1.00,7.53,4.09%,-0.75%,4.84%,,,,
1916.02,9.20,0.45,0.99,10.40,1916.12,4.07,241.50,11.86,"2,322.08",25.94,249.45,12.35,,16.03,,6.11%,1.00,7.54,4.25%,-0.72%,4.97%,,,,
1916.03,9.17,0.46,1.04,10.50,1916.21,4.08,238.42,12.03,"2,302.10",27.09,261.59,12.18,,15.79,,6.31%,1.00,7.49,3.71%,-0.54%,4.25%,,,,
1916.04,9.07,0.47,1.10,10.60,1916.29,4.10,233.60,12.19,"2,265.32",28.25,273.99,11.91,,15.42,,6.57%,1.00,7.43,3.58%,-0.47%,4.04%,,,,
1916.05,9.27,0.48,1.15,10.70,1916.37,4.11,236.52,12.35,"2,303.62",29.37,286.03,12.03,,15.55,,6.46%,1.00,7.38,3.58%,-0.28%,3.86%,,,,
