,,,,  Consumer,,,,,Real,,Real,Earnings,,Earnings,,,Monthly,Real,,,,,,,
,S&P,,,Price,,Long,,,Total,,TR,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year,,,,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Return,Real,Scaled,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized ,,,,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns,,,,
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,76.69,6.87,116.43,7.48,11.35,NA,,NA,,,1.00,1.76,15.87%,7.32%,8.56%,,,,
1877.05,2.94,0.25,0.29,10.66,1877.37,4.41,75.32,6.51,115.17,7.39,11.29,NA,,NA,,,1.00,1.74,16.23%,7.48%,8.75%,,,,
1877.06,2.73,0.25,0.29,10.09,1877.46,4.40,73.90,6.63,113.85,7.85,12.09,NA,,NA,,,1.00,1.84,16.21%,6.99%,9.21%,,,,
1877.07,2.85,0.24,0.29,10.18,1877.54,4.40,76.43,6.32,118.55,7.82,12.13,NA,,NA,,,1.00,1.83,15.63%,7.20%,8.43%,,,,
1877.08,3.05,0.23,0.29,9.80,1877.62,4.39,84.97,6.32,132.62,8.17,12.75,NA,,NA,,,1.00,1.91,13.96%,6.63%,7.32%,,,,
1877.09,3.24,0.22,0.30,9.70,1877.71,4.38,91.14,6.12,143.05,8.30,13.02,NA,,NA,,,1.00,1.94,13.13%,6.63%,6.50%,,,,
1877.1,3.31,0.21,0.30,9.70,1877.79,4.37,93.11,5.86,146.91,8.35,13.17,NA,,NA,,,1.00,1.95,12.35%,6.48%,5.87%,,,,
1877.11,3.26,0.20,0.30,9.51,1877.87,4.36,93.54,5.72,148.34,8.56,13.57,NA,,NA,,,1.00,2.00,12.37%,6.12%,6.25%,,,,
1877.12,3.25,0.19,0.30,9.51,1877.96,4.35,93.25,5.45,148.60,8.61,13.72,NA,,NA,,,1.00,2.00,12.07%,5.85%,6.22%,,,,
1878.01,3.25,0.19,0.30,9.23,1878.04,4.34,96.14,5.60,153.94,8.90,14.25,NA,,NA,,,1.00,2.08,11.67%,5.38%,6.30%,,,,
